period,duration,depth,planet_radius,disposition,semi_major_axis,source,star_radius,teff,logg
2.090811305,3.388,115.9,1.62,CONFIRMED,0.0329,Kepler,,,
3.180027898,3.5797,120.3,1.53,CONFIRMED,0.0439,Kepler,,,
50.4467417,7.159,370.3,2.67,CONFIRMED,0.2747,Kepler,,,
11.76307164,2.9076,1037.3,2.35,CONFIRMED,0.0954,Kepler,,,
56.2279271,3.57,862.7,2.37,CONFIRMED,0.2707,Kepler,,,
2.384052875,3.0918,1268.1,17.06,FALSE POSITIVE,0.0308,Kepler,,,
7.953547,2.6312,875.4,2.25,CONFIRMED,0.0712,Kepler,,,
4.14451656,2.3421,391.8,1.48,CONFIRMED,0.0461,Kepler,,,
4.859386384,2.2757,6044.3,38.33,FALSE POSITIVE,0.0571,Kepler,,,
10.526294577,2.5211,9768.0,8.24,CONFIRMED,0.088,Kepler,,,
4.583520948,2.7055,3812.1,5.39,CONFIRMED,0.0535,Kepler,,,
3.76181843,3.5176,510.6,2.66,CONFIRMED,0.047,Kepler,,,
8.20396958,2.9667,1024.4,3.01,CONFIRMED,0.0735,Kepler,,,
14.49645186,4.016,647.5,3.01,CONFIRMED,0.1074,Kepler,,,
6.54626149,2.75,655.9,2.19,CONFIRMED,0.0668,Kepler,,,
12.71809866,3.0957,1149.4,2.31,CONFIRMED,0.0934,Kepler,,,
36.06588163,4.3246,1563.8,2.64,CONFIRMED,0.1871,Kepler,,,
4.190425659,2.8589,2877.4,6.21,CONFIRMED,0.0535,Kepler,,,
3.709870784,3.0694,2020.3,4.35,CONFIRMED,0.0471,Kepler,,,
16.3297527,6.271,1187.5,3.75,CONFIRMED,0.1255,Kepler,,,
27.807566216,4.21587,25391.0,13.84,CONFIRMED,0.1711,Kepler,,,
80.8723469,11.195,3604.6,7.59,CONFIRMED,0.3577,Kepler,,,
3.166465862,2.9381,4357.2,26.82,FALSE POSITIVE,0.0371,Kepler,,,
24.99324319,5.9409,269.6,2.29,CONFIRMED,0.1651,Kepler,,,
10.35533116,3.1775,750.6,2.47,CONFIRMED,0.0895,Kepler,,,
16.08518937,3.984,1442.4,3.68,CONFIRMED,0.1173,Kepler,,,
235.9986399,8.2284,20715.0,10.59,CANDIDATE,0.6534,Kepler,,,
7.49018305,2.7297,1123.6,2.56,CONFIRMED,0.0703,Kepler,,,
36.2761238,4.7865,1572.6,3.03,CONFIRMED,0.2012,Kepler,,,
17.46087931,2.2641,812.4,2.32,CONFIRMED,0.1236,Kepler,,,
56.0560754,4.685,1626.0,1.94,CONFIRMED,0.228,Kepler,,,
41.408316686,5.0264,22839.0,11.38,CONFIRMED,0.2162,Kepler,,,
39.74893077,7.3051,15179.0,14.21,CANDIDATE,0.2311,Kepler,,,
5.715425977,2.5242,908.1,2.47,CONFIRMED,0.0611,Kepler,,,
49.18394185,11.3364,1646.2,8.2,CONFIRMED,0.2829,Kepler,,,
20.0261412,1.611,421.2,2.28,CONFIRMED,0.1409,Kepler,,,
13.61014819,2.594,5732.9,19.02,CANDIDATE,0.1061,Kepler,,,
10.44331991,2.743,1159.8,2.66,FALSE POSITIVE,0.0857,Kepler,,,
2.237489571,1.8119,315.8,1.41,CONFIRMED,0.0325,Kepler,,,
5.851520671,3.11058,33004.0,14.62,FALSE POSITIVE,0.0591,Kepler,,,
3.167893418,2.1814,781.2,2.62,CONFIRMED,0.0426,Kepler,,,
4.311780262,2.7251,1154.0,3.11,CONFIRMED,0.0511,Kepler,,,
20.0504494,4.556,840.9,2.69,CONFIRMED,0.1423,Kepler,,,
