period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
8.3806973,3.028,650.8,1.91,8956706.0,K02431.01,FALSE POSITIVE,0.0746,Kepler,,,,,,,
31.0572947,3.401,636.6,1.85,7047363.0,K02432.01,CONFIRMED,0.1803,Kepler,,,,,,,
15.1622287,7.332,479.8,3.12,11968463.0,K02433.01,CONFIRMED,0.1259,Kepler,,,,,,,
10.04378351,5.548,437.9,2.94,11968463.0,K02433.02,CONFIRMED,0.0957,Kepler,,,,,,,
7.10397925,1.5398,370.5,1.51,8836888.0,K02508.01,CANDIDATE,0.0691,Kepler,,,,,,,
4.5513988,2.457,188.7,1.13,9880190.0,K02509.01,CONFIRMED,0.0499,Kepler,,,,,,,
10.91274065,2.1801,1387.2,2.13,5364071.0,K00248.02,CONFIRMED,0.0785,Kepler,,,,,,,
12.2141545,10.262,535.8,18.13,5392702.0,K02510.01,FALSE POSITIVE,0.1016,Kepler,,,,,,,
3.732261,2.054,153.6,1.09,8429566.0,K02511.01,FALSE POSITIVE,0.0448,Kepler,,,,,,,
3.03267135,1.774,42.4,0.6,10387742.0,K02583.01,CONFIRMED,0.0405,Kepler,,,,,,,
5.34182466,3.577,70.5,0.95,7673841.0,K02585.01,CONFIRMED,0.058,Kepler,,,,,,,
2.131945045,1.8061,269.4,1.66,9827149.0,K02586.01,CONFIRMED,0.0335,Kepler,,,,,,,
12.9462567,9.568,168.7,1.13,5546691.0,K02587.01,CONFIRMED,0.1062,Kepler,,,,,,,
5.77957133,2.5213,396.6,1.5,12156347.0,K02588.01,CONFIRMED,0.0532,Kepler,,,,,,,
6.77367892,3.579,150.7,1.33,8636539.0,K02656.01,CANDIDATE,0.0727,Kepler,,,,,,,
5.22402436,2.608,48.1,0.58,9283156.0,K02657.01,CANDIDATE,0.0556,Kepler,,,,,,,
11.6601667,5.882,181.0,2.08,8547429.0,K02658.01,CONFIRMED,0.1016,Kepler,,,,,,,
89.465468,9.88,67.9,2.57,8803882.0,K02659.01,FALSE POSITIVE,0.4285,Kepler,,,,,,,
18.0161227,4.016,499.5,2.39,9893318.0,K02660.01,CONFIRMED,0.1369,Kepler,,,,,,,
40.8777605,9.745,719.1,29.55,6864885.0,K02434.01,FALSE POSITIVE,0.2314,Kepler,,,,,,,
6.80243431,3.817,249.1,2.6,5097868.0,K02435.01,FALSE POSITIVE,0.0675,Kepler,,,,,,,
84.5733346,5.762,891.6,2.59,8570333.0,K02436.01,CONFIRMED,0.3778,Kepler,,,,,,,
21.30181863,3.8763,87.3,0.72,8478994.0,K00245.02,CONFIRMED,0.1413,Kepler,,,,,,,
4.14789051,3.829,137.6,1.93,5036705.0,K02437.01,CONFIRMED,0.0541,Kepler,,,,,,,
15.92108138,1.5443,716.8,3.14,9574158.0,K02512.01,CANDIDATE,0.1201,Kepler,,,,,,,
19.0054098,1.843,542.4,28.47,9653622.0,K02513.01,CONFIRMED,0.1412,Kepler,,,,,,,
1.96433113,2.381,139.1,1.33,4391348.0,K02514.01,FALSE POSITIVE,0.0323,Kepler,,,,,,,
2.81043228,3.874,47.4,1.43,7294743.0,K02516.01,CANDIDATE,0.041,Kepler,,,,,,,
0.968527683,1.3672,114.6,1.21,8947520.0,K02517.01,CONFIRMED,0.0191,Kepler,,,,,,,
0.664074145,1.0925,212.6,1.19,10468885.0,K02589.01,CONFIRMED,0.0143,Kepler,,,,,,,
11.7489907,4.043,36.7,1.01,12016267.0,K02590.01,FALSE POSITIVE,0.1077,Kepler,,,,,,,
175.603366,9.543,506.8,2.87,6765135.0,K02592.01,CANDIDATE,0.6288,Kepler,,,,,,,
3.849371737,2.632,1298.6,12.94,3861595.0,K00004.01,CONFIRMED,0.0548,Kepler,,,,,,,
0.366197145,1.2335,275.3,51.34,5725087.0,K00033.01,FALSE POSITIVE,0.0122,Kepler,,,,,,,
4.164384505,1.8464,2338.0,2.54,10489206.0,K00251.01,CONFIRMED,0.0411,Kepler,,,,,,,
