period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
5.90127815,2.1979,1525.2,1.94,0.051,Kepler,0.7463069499424962,4370.008425275093,4.513259577615036
12.39894005,4.262,702.9,4.06,0.1099,Kepler,1.075252227528437,5755.868868104009,4.399123914429238
0.759768478,2.824,57.4,0.64,0.0158,Kepler,0.7264224743129502,3956.4700249800617,4.530139098397107
165.40574995,13.6363,66402.0,112.86,0.59,Kepler,2.2917569361945613,3277.0787175039573,5.024417913544215
35.383,3.09408,32909.23299224386,13.553622298552055,0.1989165288778992,K2,0.667213,4663.0,4.65877
17.5859472,3.815,509.5,2.24,0.1326,Kepler,0.6732160882131741,4416.8434056079195,4.604555883047678
6.13074243,2.84,146.1,1.26,0.0636,Kepler,1.1986238903679862,5568.997622490618,4.419535356238709
4.7309013,2.889,228.5,1.39,0.0552,Kepler,0.7806947599960997,5037.009956077917,4.570991167372983
63.934965,12.71,1119.5,44.59,0.3052,Kepler,1.3725043821301597,4326.161216086484,4.659717286959367
1.638652525,1.952,166.9,1.29,0.0276,Kepler,1.4673505628001513,4804.231090388735,4.23251313858805
3.11594,0.984,1073.5769390537068,1.59,0.032411486666563384,K2,0.367,3836.2009672339227,4.767263280302673
1.855557556,2.35672,10570.0,10.05,0.0286,Kepler,6.354015751489323,4146.7147373745365,4.5913583917652305
165.739861,24.9393,7343.4,57.54,0.7004,Kepler,1.3876274436286298,4395.067147099912,4.738403144955846
0.587470828,2.4382,193.8,51.02,0.0147,Kepler,0.7084057034342287,3605.33589035379,4.609110207870075
95.906433,4.08,836.2,2.17,0.3684,Kepler,0.6991638324075664,4764.222657016839,4.790118333785667
3.548465446,4.56904,7251.5,14.92,0.05,Kepler,0.5729504970780268,3910.380076853054,4.612927120756251
0.505079006,1.36737,28078.0,86.41,0.0116,Kepler,0.41077460271580013,3473.013726582412,4.867625177829631
7.132351753,2.9674,744.1,49.34,0.0855,Kepler,0.8176478654448904,5155.8442864416975,4.559698709672521
0.944598153,4.018,200.9,37.61,0.0243,Kepler,1.289938769351811,4537.891894997391,4.2834515775275
4.194496867,1.7807,660.7,1.57,0.0419,Kepler,0.995784047275233,5346.349683507702,4.405558579270702
0.566793534,4.714,92.4,122.64,0.0146,Kepler,0.8952247618997199,3942.2194030154283,4.583819542760747
87.707513,2.184,578.0,1.72,0.3558,Kepler,0.5090634024901496,4639.6386381041075,4.835641732851082
278.1243979,3.978,2297.8,5.86,0.8423,Kepler,1.2127709550930579,4806.741751200395,4.654150459300238
7.97420583,5.3503,293.1,1.85,0.0791,Kepler,0.4977423369637501,3979.134594261393,4.808793537412244
3.04622,2.5488,34763.90832880665,29.0,0.0417099027837061,K2,0.89,5529.0,4.5
14.53682228,3.195,1032.3,73.15,0.1094,Kepler,0.8370362487526672,5230.332020992239,4.551114876339542
74.985292949,6.23451,105350.0,49.22,0.3482,Kepler,0.947995768901711,4779.120182301348,4.907189366659051
384.09781,12.55,100.1,1.63,1.0068,Kepler,1.207478389581473,3907.157064837925,4.704253379837683
116.454312,15.826,2125.3,3.33,0.4142,Kepler,1.356574677643404,3673.4474468265535,4.538973940062686
7.891448838,4.2854,10345.0,12.63,0.0813,Kepler,1.2425641403090921,5024.945013514382,4.573821136278281
5.852968845,4.5973,1146.5,3.46,0.0647,Kepler,0.7189445687587439,4602.90009159844,4.589234846995049
3.70858595,1.94,305.4,1.33,0.0445,Kepler,0.5238033260340331,3949.7329829082946,4.751079029150371
19.1644498,3.553,63.8,1.83,0.1538,Kepler,0.7687154675418514,5551.302840068708,4.487171805751995
486.77832,15.29,370.8,9.3,1.4638,Kepler,2.311862294404252,3533.096080985399,4.52946359555298
6.80082032,1.9883,699.9,1.88,0.0636,Kepler,0.8183255657557128,4764.969435591961,4.6473579925257855
15.3416245,2.126,269.6,1.3,0.1109,Kepler,0.6790829569353658,4589.887960263978,4.652703884466336
229.948531,1.813,154.2,1.09,0.7177,Kepler,0.4473753368553566,4573.054118851814,4.904305109013468
93.006,2.461,125.4,1.97,0.4073,Kepler,0.5081244900033408,4643.444707449203,4.829604662402698
